date,amount,usd valie
2017-11-18,14.67094363,
2017-11-17,15.20301513,
2017-11-16,14.97557076,
2017-11-15,12.93435938,
2017-11-14,12.04963201,
2017-11-13,11.80911442,
2017-11-12,13.41863376,
2017-11-11,10.11283554,
2017-11-10,8.59336284,
2017-11-09,6.90105946,
2017-11-08,11.84270257,
2017-11-07,10.38165366,
2017-11-06,11.28889379,
2017-11-05,8.58330806,
