date,amount,usd value
2018-03-21,0.17133032,
2018-03-22,0.17373514,
2018-03-23,0.17918124,
2018-03-24,0.17834126,
2018-03-25,0.17126956,
2018-03-26,0.16213226,
2018-03-27,0.15953885,
2018-03-28,0.17385659,
2018-03-29,0.17413617,
2018-03-30,0.16742465,
2018-03-31,0.17380711,
2018-04-01,0.17489892,
2018-04-02,0.16288873,
2018-04-03,0.00529773,
